PPDB Ref no,Pesticide,Chemical Name (CAS),CAS RN,Plant,Scientific name,Study location,Matrix,IN or ON matrix,Field or Undercover,Min (days),Max (days),Mean (days),SMILES
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Bromegrass,Bromus spp.,"NY, USA",Blades,O,F,3.0,3.0,3.0,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Kentucky bluegrass,Poa pratensis L.,Canada,Thatch,I,F,1.0,39.6,24.8,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Kentucky bluegrass,Poa pratensis L.,"Iowa, USA",Thatch,I,F,2.7,3.6,3.15,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Orchard grass,*,"NY, USA",Blades,O,F,2.4,2.4,2.4,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Timothy grass,Phleum pratense,"NY, USA",Blades,O,F,1.1,1.1,1.1,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Turfgrass,"Mix of Poa pratensis, Lolium perenne & Festuca spp.",USA,Blades,I,X (compost),13.1,13.1,13.1,OC(=O)COc1ccc(Cl)cc1Cl
4,"2,4-D","(2,4-dichlorophenoxy)acetic acid",94-75-7,Wheat,Triticum aestivum L.,*,Straw,I,F,1.0,1.17,1.09,OC(=O)COc1ccc(Cl)cc1Cl
8,Abamectin,avermectin B1,71751-41-2,Cabbage,Brassica oleracea capitata,China,Head,I,F,1.4,1.6,1.5,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C
8,Abamectin,avermectin B1,71751-41-2,Cabbage,Brassica oleracea capitata,China,Head,I,F,1.5,5.4,3.45,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C
8,Abamectin,avermectin B1,71751-41-2,Cauliflower,Brassica oleracea botrytis,China,Head,I,F,1.47,2.16,1.82,CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C
